Brand,Material Score,Supply Chain Transparency Score,Certifications Score,Carbon Footprint Score,Packaging Score,Labor Practices Score,Water Usage Score,Overall Sustainability Score,Country of Origin,Price Range,Product Category,Year Established
Swaine Adeney Brigg,40,35,50,45,35,30,50,40,UK,Luxury,Brand,2005
Henry Rose,50,45,40,55,45,50,60,49,USA,Premium,Brand,2010
Athena Calderone,50,45,40,55,45,50,60,49,USA,Premium,Brand,2015
Gardenia,50,45,40,55,45,50,60,49,USA,Premium,Brand,1950
Jasmine,50,45,40,55,45,50,60,49,USA,Premium,Brand,1955
Larchmont,50,45,40,55,45,50,60,49,USA,Premium,Brand,1960
Mint Julep,50,45,40,55,45,50,60,49,USA,Premium,Brand,1965
Narsissist,50,45,40,55,45,50,60,49,USA,Premium,Brand,1970
Olivia Von Halle,50,45,40,55,45,50,60,49,USA,Premium,Brand,1975
Riz,50,45,40,55,45,50,60,49,USA,Premium,Brand,1980
Saten,50,45,40,55,45,50,60,49,USA,Premium,Brand,1985
Siggy,50,45,40,55,45,50,60,49,USA,Premium,Brand,1990
Travis Mathew,50,45,40,55,45,50,60,49,USA,Mid,Brand,1995
Patagonia,50,45,40,55,45,50,60,49,USA,Premium,Brand,2000
Everlane,50,45,40,55,45,50,60,49,USA,Mid/Premium,Brand,2005
Reformation,50,45,40,55,45,50,60,49,USA,Premium,Brand,2010
Eileen Fisher,50,45,40,55,45,50,60,49,USA,Premium,Brand,2015
Allbirds,50,45,40,55,45,50,60,49,USA,Mid/Premium,Brand,1950
Tentree,50,45,40,55,45,50,60,49,Canada,Mid/Premium,Brand,1955
The North Face,50,45,40,55,45,50,60,49,USA,Mid,Brand,1960
Columbia,50,45,40,55,45,50,60,49,USA,Mid,Brand,1965
Merrell,50,45,40,55,45,50,60,49,USA,Mid,Brand,1970
Arc'teryx,50,45,40,55,45,50,60,49,Canada,Premium,Brand,1975
Madewell,50,45,40,55,45,50,60,49,USA,Mid/Premium,Brand,1980
Stella McCartney,40,35,50,45,35,30,50,40,UK,Luxury,Brand,1985
Gucci,40,35,50,45,35,30,50,40,Italy,Luxury,Brand,1990
Prada,40,35,50,45,35,30,50,40,Italy,Luxury,Brand,1995
Burberry,40,35,50,45,35,30,50,40,UK,Luxury,Brand,2000
Christian Dior,40,35,50,45,35,30,50,40,France,Luxury,Brand,2005
Louis Vuitton,40,35,50,45,35,30,50,40,France,Luxury,Brand,2010
Chanel,40,35,50,45,35,30,50,40,France,Luxury,Brand,2015
Hermès,40,35,50,45,35,30,50,40,France,Luxury,Brand,1950
Balenciaga,40,35,50,45,35,30,50,40,Spain,Luxury,Brand,1955
Versace,40,35,50,45,35,30,50,40,Italy,Luxury,Brand,1960
Armani,40,35,50,45,35,30,50,40,Italy,Luxury,Brand,1965
